ea_type,timestamp,session,symbol,source_file,action,trade_type,strategy,score,atr,price,sl,tp,reason,result,trade_id,profit,risk,r_multiple,raw
M5,2026.03.17 04:20:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.06,5027.84,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,CF	0	20:41:24.778	Core 1	2026.03.17 04:20:00   [GoldEA] [RANGE(CT)] SELL check: price=5027.84 atr=3.06 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:25:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.22,5029.52,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,ML	0	20:41:24.778	Core 1	2026.03.17 04:25:00   [GoldEA] [RANGE] BUY check: price=5029.52 atr=3.22 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:25:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.22,5029.52,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,CS	0	20:41:24.778	Core 1	2026.03.17 04:25:00   [GoldEA] [RANGE(CT)] SELL check: price=5029.52 atr=3.22 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:30:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.32,5032.49,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,PQ	0	20:41:24.778	Core 1	2026.03.17 04:30:00   [GoldEA] [RANGE] BUY check: price=5032.49 atr=3.32 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:30:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.32,5032.49,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,JL	0	20:41:24.778	Core 1	2026.03.17 04:30:00   [GoldEA] [RANGE(CT)] SELL check: price=5032.49 atr=3.32 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:35:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.31,5033.32,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,CR	0	20:41:24.778	Core 1	2026.03.17 04:35:00   [GoldEA] [RANGE] BUY check: price=5033.32 atr=3.31 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:35:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.31,5033.32,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,EH	0	20:41:24.778	Core 1	2026.03.17 04:35:00   [GoldEA] [RANGE(CT)] SELL check: price=5033.32 atr=3.31 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:40:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.15,5033.97,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,LG	0	20:41:24.778	Core 1	2026.03.17 04:40:00   [GoldEA] [RANGE] BUY check: price=5033.97 atr=3.15 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:40:00,Asian,,20260325.log,SIGNAL_CHECK,SELL,RANGE(CT),0.0,3.15,5033.97,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,NE	0	20:41:24.778	Core 1	2026.03.17 04:40:00   [GoldEA] [RANGE(CT)] SELL check: price=5033.97 atr=3.15 score=0 reason=RANGE_PENALTY_REJECTION
M5,2026.03.17 04:45:00,Asian,,20260325.log,SIGNAL_CHECK,BUY,RANGE,0.0,3.45,5039.75,,,RANGE_PENALTY_REJECTION,SKIPPED,,,,,DK	0	20:41:24.778	Core 1	2026.03.17 04:45:00   [GoldEA] [RANGE] BUY check: price=5039.75 atr=3.45 score=0 reason=RANGE_PENALTY_REJECTION
